file_name,links,data_path,audio_path
RFA_གོང་ས་མཆོག_1034,https://www.rfa.org/tibetan/dalai-lama/hhdl-opens-gadhen-trithok-khang-in-mundgod-12082015133550.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1054,https://www.rfa.org/tibetan/dalai-lama/hhdl-se-asian-teaching-09132015104049.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1035,https://www.rfa.org/tibetan/dalai-lama/his-holiness-awarded-2015-liberty-award-12062015112112.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1055,https://www.rfa.org/tibetan/dalai-lama/hhdl-concludes-southeast-asian-teaching-09102015121936.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1036,https://www.rfa.org/tibetan/dalai-lama/science-and-buddhism-11162015095829.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1504,https://www.rfa.org/tibetan/dalai-lama/hh-dalai-lama-concluded-4-day-teaching-at-dharamsala-06042013124930.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1056,https://www.rfa.org/tibetan/dalai-lama/his-holiness-teaching-in-dharamsala-09082015131923.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1057,https://www.rfa.org/tibetan/dalai-lama/kalachakra-postponed-08312015114538.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1058,https://www.rfa.org/tibetan/dalai-lama/his-holiness-birthday-in-swiss-08102015141100.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1059,https://www.rfa.org/tibetan/dalai-lama/dear-dalai-lama-letter-compilation-08062015112835.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_106,https://www.rfa.org/tibetan/dalai-lama/jan-andersson-09272023131924.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1060,https://www.rfa.org/tibetan/dalai-lama/long-life-offering-to-his-holiness-07232015152320.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1061,https://www.rfa.org/tibetan/dalai-lama/hhdl-explained-choekhor-duechen-07212015110859.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1062,https://www.rfa.org/tibetan/dalai-lama/weisbaden-received-his-holiness-the-dalai-lama-with-great-honor-on-july-12th-07182015114328.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1063,https://www.rfa.org/tibetan/dalai-lama/his-holiness-birthday-in-new-york-07162015112718.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1064,https://www.rfa.org/tibetan/dalai-lama/his-holiness-back-to-dharamsala-07152015150643.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
